Emissions,State
"6,053,893,575.02",Texas
"1,960,019,713.46",Louisiana
"1,875,961,512.36",Florida
"1,854,699,941.31",Indiana
"1,764,903,719.42",Pennsylvania
"1,631,186,295.65",Ohio
"1,449,589,220.86",Illinois
"1,447,669,438.11",California
"1,388,696,793.20",Alabama
"1,245,557,532.03",Kentucky
"1,166,274,325.46",Michigan
"1,138,687,974.52",Georgia
"1,084,943,816.93",Oklahoma
"1,077,540,829.94",West Virginia
"1,054,693,835.05",Missouri
"891,499,772.07",North Carolina
"884,428,726.35",Colorado
"787,001,704.42",Wyoming
"706,129,648.74",Arizona
"689,736,833.62",Wisconsin
"676,310,530.79",Iowa
"667,058,291.81",Virginia
"660,941,229.33",Tennessee
"636,020,159.58",South Carolina
"632,707,709.79",Arkansas
"599,101,396.50",Minnesota
"588,664,838.01",New York
"580,496,582.74",Mississippi
"530,796,571.69",Kansas
"527,301,544.90",North Dakota
"518,055,921.67",Utah
"463,736,034.97",New Mexico
"396,819,614.90",Nebraska
"388,094,169.24",Washington
"343,223,223.32",New Jersey
"311,780,419.08",Maryland
"270,093,839.71",Montana
"257,384,796.75",Alaska
"233,056,080.93",Nevada
"207,583,998.76",Massachusetts
"205,831,336.04",Oregon
"200,423,218.52",Puerto Rico
"143,575,543.36",Connecticut
"124,611,994.46",Maine
"118,509,796.35",Hawaii
"92,622,079.49",Delaware
"79,536,636.28",Idaho
"76,489,813.74",South Dakota
"54,764,317.04",New Hampshire
"45,155,296.64",Rhode Island
"16,034,197.63",Guam
"7,455,000.25",Vermont
